_,Id,StageName,CreatedDate,OpportunityId
[OpportunityHistory],0080h00002UQVwOAAX,Closed Lost,2018-03-26T16:40:44.000+0000,0060L00000goRt4QAE
[OpportunityHistory],0080h00002pJFteAAG,Closed Lost,2018-03-05T22:27:16.000+0000,0060L00000goRt4QAE
[OpportunityHistory],0080L00001T0BUmQAN,Closed Lost,2017-07-06T20:58:08.000+0000,0060L00000goW7LQAU
[OpportunityHistory],0080L00001Ry0pCQAR,Hot: Negotiation/Review,2017-05-16T21:36:36.000+0000,0060L00000goW7LQAU
[OpportunityHistory],0080L00001RxputQAB,Presentation Delivered,2017-05-15T17:48:57.000+0000,0060L00000goW7LQAU
[OpportunityHistory],0080L00001Qtp2UQAR,Presentation Booked,2017-04-05T15:51:59.000+0000,0060L00000goW7LQAU
[OpportunityHistory],0080L00001Op3InQAJ,Closed Lost,2017-01-23T19:06:07.000+0000,0060L00000goW7LQAU
[OpportunityHistory],0080h00002qlHEhAAM,Closed Lost,2018-09-16T00:53:59.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080h00002qkcojAAA,Closed Lost,2018-09-04T06:35:03.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080h00002qHloUAAS,Warm: Buying Signals,2018-07-11T19:01:41.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080L00001Y2g5EQAR,Warm: Buying Signals,2017-12-21T00:55:38.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080L00001Mb5bjQAB,Presentation Booked,2017-11-09T15:20:46.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080L00001MZ67aQAD,Presentation Booked,2017-10-23T17:24:50.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080L00001MZ66NQAT,Presentation Booked,2017-10-23T17:22:32.000+0000,0060L00000h80flQAA
[OpportunityHistory],0080h00002qGDc4AAG,Closed Lost,2018-06-11T01:02:13.000+0000,0060L00000h87nrQAA
[OpportunityHistory],0080L00001YyU1tQAF,Presentation Delivered,2018-01-25T14:15:40.000+0000,0060L00000h87nrQAA
[OpportunityHistory],0080L00001YvMxoQAF,Presentation Delivered,2017-12-21T21:31:52.000+0000,0060L00000h87nrQAA
[OpportunityHistory],0080L00001MaTMIQA3,Presentation Delivered,2017-11-03T23:45:24.000+0000,0060L00000h87nrQAA
[OpportunityHistory],0080L00001MZULqQAP,Presentation Booked,2017-10-26T14:40:22.000+0000,0060L00000h87nrQAA
[OpportunityHistory],0080L00001MZUJzQAP,Presentation Booked,2017-10-26T14:38:09.000+0000,0060L00000h87nrQAA
[OpportunityHistory],0080L00001Y0VsPQAV,Closed Lost,2017-12-01T23:52:04.000+0000,0060L00000h88PJQAY
[OpportunityHistory],0080L00001MZWQzQAP,Presentation Booked,2017-10-26T17:30:21.000+0000,0060L00000h88PJQAY
[OpportunityHistory],0080L00001MZWQaQAP,Presentation Booked,2017-10-26T17:29:50.000+0000,0060L00000h88PJQAY
[OpportunityHistory],0080h00002pV42pAAC,Closed Lost,2018-05-21T16:51:12.000+0000,0060L00000h8JBRQA2
[OpportunityHistory],0080L00001YwQ15QAF,Warm: Buying Signals,2018-01-04T23:46:13.000+0000,0060L00000h8JBRQA2
[OpportunityHistory],0080L00001MaIYDQA3,Warm: Buying Signals,2017-11-02T22:59:54.000+0000,0060L00000h8JBRQA2
[OpportunityHistory],0080L00001Ma8mfQAB,Presentation Booked,2017-11-01T22:34:37.000+0000,0060L00000h8JBRQA2
[OpportunityHistory],0080L00001Ma8meQAB,Presentation Booked,2017-11-01T22:34:36.000+0000,0060L00000h8JBRQA2
[OpportunityHistory],0080L00001Mb7yzQAB,Closed Lost,2017-11-09T18:13:53.000+0000,0060L00000h8Rd0QAE
[OpportunityHistory],0080L00001Mb7ypQAB,Closed Lost,2017-11-09T18:13:44.000+0000,0060L00000h8Rd0QAE
[OpportunityHistory],0080L00001MabJRQAZ,Presentation Booked,2017-11-06T17:16:53.000+0000,0060L00000h8Rd0QAE
[OpportunityHistory],0080L00001MabJQQAZ,Presentation Booked,2017-11-06T17:16:52.000+0000,0060L00000h8Rd0QAE
[OpportunityHistory],0080h00002UQpwcAAD,Closed Lost,2018-04-02T17:27:17.000+0000,0060L00000h8Tf5QAE
[OpportunityHistory],0080h00002UQhgGAAT,Contract Sent,2018-03-29T21:42:32.000+0000,0060L00000h8Tf5QAE
